Address
улица Храпатого, дом 21
улица Бокейхана, дом 18.
улица Мангилик Ел, дом 50
улица Шакарим Кудайбердыулы, дом 31/1
улица Ракымжан Кошкарбаев, дом 41
улица Тауелсиздик, дом 39
улица Сауран, дом 3/1
улица Куйши Дина, дом 8
 улица Абылай хана, дом 26
улица Бауыржан Момышулы, дом 16
улица  Кенесары, дом 52
улица Туркестан, дом 18
 улица Сарайшык, дом 5
улица Суюнбай акын, дом 82/1
улица Кайым Мухамедханов, дом 10
улица  Мангилик Ел, дом 17
улица Кабанбай батыр, дом 48a
улица  Улы Дала, дом 29
улица Богенбай Батыр,дом 31
улица Манкент, дом 2
улица Республики, дом 61
улица Ахмета Байтурсынулы, дом 23 блок A 
улица Улы Дала, дом 6/1 
улица Динмухамед Конаев, дом 35
улица Алихан Бокейхан, дом 25г
улица Роза Багланова, дом 2
улица Республики, дом 39
улица  Шәймерден Қосшығұлұлы, дом 3/1
улица Сарыарка, дом 31
улица Абылай хана, дом 12/1
улица Ахмет Байтурсынулы, дом 41
улица Адольфа Янушкевича, дом 1
улица Сыганак, дом 11
улица Абикен Бектуров, дом 1/1
улица Сыганак, дом 2
улица Сарыарка, дом 24
улица  Кабанбай батыр, дом 49а
улица Шамши Калдаяков, дом 1
улица Чингиз Айтматов, дом 40
улица Тарас Шевченко, дом 8
улица  Кайым Мухамедханов, дом 4 блок А
улица Габиден Мустафин, дом 4
улица Кравцова, дом 1
улица Бейбитшилик, дом 62/1
улица Максут Нарикбаев, дом 22
улица Шаймерден Косшыгулулы, дом 25
улица Нургисы Тлендиева, дом 42
улица Жумабека Ташенова, дом 7
улица Туран, дом 34/1
улица Алихан Бокейхан, дом 8
улица Республики, дом 2/1
улица Турар Рыскулов, дом 5/5
улица Ыкылас Дукенулы, дом 38
улица Алихана Бокейхана, дом11
улица Кажымукан, дом 6
улица Биржан сал, дом 3
улица Ракымжан Кошкарбаев, дом 66
улица  Темирбек Жургенов, дом 18/2
улица Ахмет Байтурсынулы, дом 51
улица Кабанбай батыр, дом 59/2
улица Амман, дом 6
улица Е 652, дом 10
улица Есет батыр, дом 18
улица Куляш Байсеитова, дом 10
улица  Керей-Жанибек хандар, дом 50
улица Вольфганга Гете, дом 3
улица Куляш Байсеитова, дом 114/3
улица Арнасай, дом 10/5
улица Туран, дом 5/3
улица Кошке Кеменгерулы, дом 1
улица  Мереке, дом 2/1
улица  Е 117, дом 39
улица Шевченко, дом 8/1
